Latitude Longitude
41.7790899 -87.615599831
41.991838654 -87.68262435
41.901788359 -87.723835955
41.765965607 -87.589966186
41.922661724 -87.649878465
41.774115208 -87.61308174
41.912733991 -87.662123151
41.848962185 -87.713701098
41.843823254 -87.722096308
41.750991368 -87.622271215
41.901325561 -87.752077105
41.995325694 -87.684902737
41.706270197 -87.622742236
41.712588878 -87.601946362
41.988828094 -87.704754451
41.737263008 -87.560850253
41.889983998 -87.657862366
41.892757104 -87.712572811
41.980442145 -87.762053336
41.994758989 -87.7144777
41.778883826 -87.664206366
41.882490951 -87.656714768
41.987870213 -87.66019784
41.789280246 -87.620135797
41.885309786 -87.667599365
41.891694878 -87.626155832
41.762314472 -87.597877858
41.937978831 -87.720661393
41.760020884 -87.697796337
41.894664669 -87.712631471
41.706179138 -87.629349797
41.921593222 -87.71812478
41.880362084 -87.755847438
41.917396919 -87.707392238
41.806308386 -87.656398268
41.808028819 -87.684414463
41.868225857 -87.770543221
41.934067729 -87.645912462
41.874232051 -87.73506171
41.79653075 -87.594960011
41.877759656 -87.629287444
41.759646094 -87.650643378
41.756650207 -87.561475423
41.887222817 -87.624545187
41.80867432 -87.741966391
41.716019353 -87.642765227
41.814661612 -87.627612832
41.749222926 -87.564979821
41.893646656 -87.631177143
41.839410287 -87.646313633
41.882429735 -87.627844406
41.68434773 -87.628859301
41.895922987 -87.676388824
41.779012821 -87.664208692
41.78018541 -87.703170178
41.895996468 -87.625487641
41.992867472 -87.69825882
41.888131743 -87.629548167
41.728737429 -87.586739412
41.8020092 -87.622063199
41.701624878 -87.629117507
41.948759735 -87.755373891
41.707855985 -87.652590571
41.90107719 -87.754518428
41.883191631 -87.706183852
41.940985804 -87.650495121
41.792444765 -87.62240731
41.78024763 -87.615102958
41.821757158 -87.700913682
41.72904484 -87.586746843
41.898255603 -87.632750178
41.93691476 -87.644294138
41.881004767 -87.703230798
41.880781519 -87.626680112
41.895422172 -87.720311667
41.751823512 -87.651345619
41.877805859 -87.624307765
41.815935193 -87.618332425
41.744872404 -87.664926065
41.689221958 -87.705614727
41.784951353 -87.732717121
41.790385341 -87.619115133
41.946728607 -87.772444826
41.884493832 -87.627021129
41.893574529 -87.629705116
41.847313213 -87.702669655
41.90690686 -87.746049479
41.859271065 -87.65891252
41.679811088 -87.625691047
41.91000536 -87.715759913
41.869695814 -87.774278932
41.884650262 -87.627915459
41.915860456 -87.728963454
41.98818957 -87.80276544
41.997265486 -87.767321808
41.803754843 -87.583697861
41.77597876 -87.725131259
41.744274498 -87.725782336
41.782951712 -87.604362828
41.895664029 -87.694697628
41.733336739 -87.658128578
41.751270235 -87.605883115
41.880779076 -87.721377025
41.92478162 -87.668809691
41.784512411 -87.649763658
41.909254953 -87.677431424
